id,intervention,arg_id,cq,cq,label,old_labeling
CL_57,"Well, both sides of the transaction suffer as a result of ignoring moral hazard
because moral hazard is a natural part of the process of lending and borrowing
And if you suppress it, then in fact you're in a situation where the wealth that you look like you're generating is fool’s gold, not real wealth at all.",34158_34156,How strong is the generalisation that if the moral hazard of borrowing and lending money is ignored then both sides of the transaction suffer?,How strong is the generalisation that if the moral hazard of borrowing and lending money is ignored then both sides of the transaction suffer?,none,
CL_57,"Well, both sides of the transaction suffer as a result of ignoring moral hazard
because moral hazard is a natural part of the process of lending and borrowing
And if you suppress it, then in fact you're in a situation where the wealth that you look like you're generating is fool’s gold, not real wealth at all.",34158_34156,Are there other factors in this particular case that could have interfered with the event of 'both sides of the transaction suffer'?,Are there other factors in this particular case that could have interfered with the event of 'both sides of the transaction suffer'?,none,
CL_57,"Well, both sides of the transaction suffer as a result of ignoring moral hazard
because moral hazard is a natural part of the process of lending and borrowing
And if you suppress it, then in fact you're in a situation where the wealth that you look like you're generating is fool’s gold, not real wealth at all.",34157_34156,How strong is the generalisation that if moral hazard is ignored then both sides of the transaction suffer?,How strong is the generalisation that if moral hazard is ignored then both sides of the transaction suffer?,none,
CL_57,"Well, both sides of the transaction suffer as a result of ignoring moral hazard
because moral hazard is a natural part of the process of lending and borrowing
And if you suppress it, then in fact you're in a situation where the wealth that you look like you're generating is fool’s gold, not real wealth at all.",34157_34156,Are there other factors in this particular case that could have interfered with the event of 'both sides of the transaction suffer'?,Are there other factors in this particular case that could have interfered with the event of 'both sides of the transaction suffer'?,none,
CF_58,"But I think you can be in a situation where you say, “We will let you write off your debts, without incurring moral hazard. But you have to have-”
...
Because bankruptcy used to be shameful. And I do think there is something in it
Otherwise you’ve got slavery.
I mean, if you get into debt, and you can never get out of it, that’s slavery
You’ve got to be able to start again.
 But you start again with some very strict rules and a stigma.
And being bankrupt wasn’t something – now, kind of, it’s almost as though people won’t take account of the fact they’ve got absolutely no money, and they're in debt, and they don’t want to pay it
Whereas I do feel a country can even say, “We’re going to go bankrupt. It’s humiliating. We’ll do it. We’ll start again. We’ll grow
One of my concerns is this demoralisation question
In this debate it seems to me, and actually the way Mr Cameron posed it, was you got a choice of being mollycoddled at home by your mum and dad, or you demand that you’re sustained by the State.
Don’t you think that we need to encourage young people to see a third way, an alternative to that?",34180_34169,"If you get into debt, will you can never get out of it and that's slavery occur? What evidence supports this claim? How likely are the consequences?","If you get into debt, will you never be able to get out of it and that's slavery? What evidence supports this claim? How likely are the consequences?",edited,
CF_58,"But I think you can be in a situation where you say, “We will let you write off your debts, without incurring moral hazard. But you have to have-”
...
Because bankruptcy used to be shameful. And I do think there is something in it
Otherwise you’ve got slavery.
I mean, if you get into debt, and you can never get out of it, that’s slavery
You’ve got to be able to start again.
 But you start again with some very strict rules and a stigma.
And being bankrupt wasn’t something – now, kind of, it’s almost as though people won’t take account of the fact they’ve got absolutely no money, and they're in debt, and they don’t want to pay it
Whereas I do feel a country can even say, “We’re going to go bankrupt. It’s humiliating. We’ll do it. We’ll start again. We’ll grow
One of my concerns is this demoralisation question
In this debate it seems to me, and actually the way Mr Cameron posed it, was you got a choice of being mollycoddled at home by your mum and dad, or you demand that you’re sustained by the State.
Don’t you think that we need to encourage young people to see a third way, an alternative to that?",34180_34169,What other consequences should also be taken into account if not you get into debt?,What other consequences should also be taken into account if you do not get into debt?,edited,
CF_58,"But I think you can be in a situation where you say, “We will let you write off your debts, without incurring moral hazard. But you have to have-”
...
Because bankruptcy used to be shameful. And I do think there is something in it
Otherwise you’ve got slavery.
I mean, if you get into debt, and you can never get out of it, that’s slavery
You’ve got to be able to start again.
 But you start again with some very strict rules and a stigma.
And being bankrupt wasn’t something – now, kind of, it’s almost as though people won’t take account of the fact they’ve got absolutely no money, and they're in debt, and they don’t want to pay it
Whereas I do feel a country can even say, “We’re going to go bankrupt. It’s humiliating. We’ll do it. We’ll start again. We’ll grow
One of my concerns is this demoralisation question
In this debate it seems to me, and actually the way Mr Cameron posed it, was you got a choice of being mollycoddled at home by your mum and dad, or you demand that you’re sustained by the State.
Don’t you think that we need to encourage young people to see a third way, an alternative to that?",34179_34169,"If there is no situation in which you can write off your debts without incurring moral hazard, will slavery occur? What evidence supports this claim? How likely are the consequences?","If there is no situation in which you can write off your debts without incurring moral hazard, will slavery occur? What evidence supports this claim? How likely are the consequences?",none,
CF_58,"But I think you can be in a situation where you say, “We will let you write off your debts, without incurring moral hazard. But you have to have-”
...
Because bankruptcy used to be shameful. And I do think there is something in it
Otherwise you’ve got slavery.
I mean, if you get into debt, and you can never get out of it, that’s slavery
You’ve got to be able to start again.
 But you start again with some very strict rules and a stigma.
And being bankrupt wasn’t something – now, kind of, it’s almost as though people won’t take account of the fact they’ve got absolutely no money, and they're in debt, and they don’t want to pay it
Whereas I do feel a country can even say, “We’re going to go bankrupt. It’s humiliating. We’ll do it. We’ll start again. We’ll grow
One of my concerns is this demoralisation question
In this debate it seems to me, and actually the way Mr Cameron posed it, was you got a choice of being mollycoddled at home by your mum and dad, or you demand that you’re sustained by the State.
Don’t you think that we need to encourage young people to see a third way, an alternative to that?",34179_34169,What other consequences should also be taken into account if not there is no situation in which you can write off your debts without incurring moral hazard?,What other consequences should also be taken into account if we create a situation in which you can write off your debts without incurring moral hazard?,edited,
CF_60,"Because bankruptcy used to be shameful. And I do think there is something in it
Otherwise you’ve got slavery.
I mean, if you get into debt, and you can never get out of it, that’s slavery
You’ve got to be able to start again.
 But you start again with some very strict rules and a stigma.
And being bankrupt wasn’t something – now, kind of, it’s almost as though people won’t take account of the fact they’ve got absolutely no money, and they're in debt, and they don’t want to pay it
Whereas I do feel a country can even say, “We’re going to go bankrupt. It’s humiliating. We’ll do it. We’ll start again. We’ll grow
One of my concerns is this demoralisation question
In this debate it seems to me, and actually the way Mr Cameron posed it, was you got a choice of being mollycoddled at home by your mum and dad, or you demand that you’re sustained by the State.
Don’t you think that we need to encourage young people to see a third way, an alternative to that?",34184_34182,"If a country goes bankrupt, will it's humiliating for the country occur? What evidence supports this claim? How likely are the consequences?","If a country goes bankrupt, will it be humiliating for the country? What evidence supports this claim? How likely are the consequences?",edited,
CF_60,"Because bankruptcy used to be shameful. And I do think there is something in it
Otherwise you’ve got slavery.
I mean, if you get into debt, and you can never get out of it, that’s slavery
You’ve got to be able to start again.
 But you start again with some very strict rules and a stigma.
And being bankrupt wasn’t something – now, kind of, it’s almost as though people won’t take account of the fact they’ve got absolutely no money, and they're in debt, and they don’t want to pay it
Whereas I do feel a country can even say, “We’re going to go bankrupt. It’s humiliating. We’ll do it. We’ll start again. We’ll grow
One of my concerns is this demoralisation question
In this debate it seems to me, and actually the way Mr Cameron posed it, was you got a choice of being mollycoddled at home by your mum and dad, or you demand that you’re sustained by the State.
Don’t you think that we need to encourage young people to see a third way, an alternative to that?",34184_34182,What other consequences should also be taken into account if not a country goes bankrupt?,What other consequences should also be taken into account if we don't let countries go bankrupt?,edited,
CF_60,"Because bankruptcy used to be shameful. And I do think there is something in it
Otherwise you’ve got slavery.
I mean, if you get into debt, and you can never get out of it, that’s slavery
You’ve got to be able to start again.
 But you start again with some very strict rules and a stigma.
And being bankrupt wasn’t something – now, kind of, it’s almost as though people won’t take account of the fact they’ve got absolutely no money, and they're in debt, and they don’t want to pay it
Whereas I do feel a country can even say, “We’re going to go bankrupt. It’s humiliating. We’ll do it. We’ll start again. We’ll grow
One of my concerns is this demoralisation question
In this debate it seems to me, and actually the way Mr Cameron posed it, was you got a choice of being mollycoddled at home by your mum and dad, or you demand that you’re sustained by the State.
Don’t you think that we need to encourage young people to see a third way, an alternative to that?",34183_34182,Are being bankrupt and being in debt similar in the respect cited?,Are being bankrupt and being in debt similar in the respect cited?,none,
CF_60,"Because bankruptcy used to be shameful. And I do think there is something in it
Otherwise you’ve got slavery.
I mean, if you get into debt, and you can never get out of it, that’s slavery
You’ve got to be able to start again.
 But you start again with some very strict rules and a stigma.
And being bankrupt wasn’t something – now, kind of, it’s almost as though people won’t take account of the fact they’ve got absolutely no money, and they're in debt, and they don’t want to pay it
Whereas I do feel a country can even say, “We’re going to go bankrupt. It’s humiliating. We’ll do it. We’ll start again. We’ll grow
One of my concerns is this demoralisation question
In this debate it seems to me, and actually the way Mr Cameron posed it, was you got a choice of being mollycoddled at home by your mum and dad, or you demand that you’re sustained by the State.
Don’t you think that we need to encourage young people to see a third way, an alternative to that?",34183_34182,Is you start again with some very strict rules and a stigma true in being bankrupt?,Is you start again with some very strict rules and a stigma true in being bankrupt?,wierd,
CF_60,"Because bankruptcy used to be shameful. And I do think there is something in it
Otherwise you’ve got slavery.
I mean, if you get into debt, and you can never get out of it, that’s slavery
You’ve got to be able to start again.
 But you start again with some very strict rules and a stigma.
And being bankrupt wasn’t something – now, kind of, it’s almost as though people won’t take account of the fact they’ve got absolutely no money, and they're in debt, and they don’t want to pay it
Whereas I do feel a country can even say, “We’re going to go bankrupt. It’s humiliating. We’ll do it. We’ll start again. We’ll grow
One of my concerns is this demoralisation question
In this debate it seems to me, and actually the way Mr Cameron posed it, was you got a choice of being mollycoddled at home by your mum and dad, or you demand that you’re sustained by the State.
Don’t you think that we need to encourage young people to see a third way, an alternative to that?",34183_34182,Are there differences between being bankrupt and being in debt that would tend to undermine the force of the similarity cited?,Are there differences between being bankrupt and being in debt that would tend to undermine the force of the similarity cited?,none,
CF_60,"Because bankruptcy used to be shameful. And I do think there is something in it
Otherwise you’ve got slavery.
I mean, if you get into debt, and you can never get out of it, that’s slavery
You’ve got to be able to start again.
 But you start again with some very strict rules and a stigma.
And being bankrupt wasn’t something – now, kind of, it’s almost as though people won’t take account of the fact they’ve got absolutely no money, and they're in debt, and they don’t want to pay it
Whereas I do feel a country can even say, “We’re going to go bankrupt. It’s humiliating. We’ll do it. We’ll start again. We’ll grow
One of my concerns is this demoralisation question
In this debate it seems to me, and actually the way Mr Cameron posed it, was you got a choice of being mollycoddled at home by your mum and dad, or you demand that you’re sustained by the State.
Don’t you think that we need to encourage young people to see a third way, an alternative to that?",34183_34182,"Is there some other case that is also similar to being bankrupt, but in which you start again with some very strict rules and a stigma is false?","Is there some other case that is also similar to being bankrupt, but in which you start again with some very strict rules and a stigma is false?",wierd,
CF_62,"RS: Provide that for our young people
 These are young adults; you’re kind of treating them as though they’re passive recipients of something.
 And I suppose that’s my concern; how do we encourage the young?
It’s not beyond the imagination to imagine the young might get up and go and do something about this, other than kind of sit and wait to be handed something.
Now you’re saying “Provide that for our young people”, and in a way that’s where I’m going.",35547_35545,Is there a proved relation between 'young people need to be encouraged' and 'we need to provide that for young people'?,Is there a proved relation between 'young people need to be encouraged' and 'we need to provide that for young people'?,wierd,
CF_62,"RS: Provide that for our young people
 These are young adults; you’re kind of treating them as though they’re passive recipients of something.
 And I suppose that’s my concern; how do we encourage the young?
It’s not beyond the imagination to imagine the young might get up and go and do something about this, other than kind of sit and wait to be handed something.
Now you’re saying “Provide that for our young people”, and in a way that’s where I’m going.",35547_35545,Are there any events other than young people need to be encouraged that would more reliably account for we need to provide that for young people?,Are there any events other than young people need to be encouraged that would more reliably account for we need to provide that for young people?,wierd,
Melanie_64,"Well the State has taken a moral position
that position was non-judgmentalism
and terrible harm it’s done
It’s created a lot of victims who now need help themselves, and who sometimes go on to create other victims through crime
 I think they do need help
but that help should be very carefully calibrated, to restore the capacity for independence and personal responsibility",37420_37411,"If the State has taken a moral position, will terrible harm it's done occur? What evidence supports this claim? How likely are the consequences?","If the State has taken a moral position, will there be a terrible harm? What evidence supports this claim? How likely are the consequences?",edited,
Melanie_64,"Well the State has taken a moral position
that position was non-judgmentalism
and terrible harm it’s done
It’s created a lot of victims who now need help themselves, and who sometimes go on to create other victims through crime
 I think they do need help
but that help should be very carefully calibrated, to restore the capacity for independence and personal responsibility",37420_37411,What other consequences should also be taken into account if not the State has taken a moral position?,What other consequences should also be taken into account if the State does not take a moral position?,edited,
Helen _66,"they’re not able to impose the right sort of levels
and within that bracket I would certainly put families who are living with very high levels of aggression and violence, who are terrorising communities
So, yes I’d agree with that
But I would also say that there are other families, where actually they do need a great deal of help
it’s right to intervene
and actually you can help them get back on their feet and able to parent their children effectively",37674_37668,"If you intervene, will you can help families get back on their feet and able to parent their children occur? What evidence supports this claim? How likely are the consequences?","If the state intervenes, will it be possible to help families get back on their feet and able to parent their children? What evidence supports this claim? How likely are the consequences?",edited,
Helen _66,"they’re not able to impose the right sort of levels
and within that bracket I would certainly put families who are living with very high levels of aggression and violence, who are terrorising communities
So, yes I’d agree with that
But I would also say that there are other families, where actually they do need a great deal of help
it’s right to intervene
and actually you can help them get back on their feet and able to parent their children effectively",37674_37668,What other consequences should also be taken into account if  you intervene?,What other consequences should also be taken into account if the state intervenes?,edited,
AB_68,"Indeed.
 I think there should be a careful balancing act of freedom.
Liberal societies have often known that the family can be a nexus for forms of unequal opportunity, but we don’t abolish the family.
For the same reasons we should be very circumspect in the way we intervene in families,
 if you would like to consider the concept of non domination, freedom as non domination – the non interference on arbitrary grounds in people’s important decisions – then we have to be careful that when we do intervene it’s to increase total non domination.
Which would mean not interfering simply because people are mad, sad and bad, but because they are imposing domination on their neighbours.",46580_46581,Are the intervention of the family can be the origin of unequal opportunities and the intervention of the State can be the origin of unequal opportunities similar in the respect cited?,Are the intervention of the family and the intervention of the State similar in the sense that they both can be the origin of unequal opportunities?,edited,
AB_68,"Indeed.
 I think there should be a careful balancing act of freedom.
Liberal societies have often known that the family can be a nexus for forms of unequal opportunity, but we don’t abolish the family.
For the same reasons we should be very circumspect in the way we intervene in families,
 if you would like to consider the concept of non domination, freedom as non domination – the non interference on arbitrary grounds in people’s important decisions – then we have to be careful that when we do intervene it’s to increase total non domination.
Which would mean not interfering simply because people are mad, sad and bad, but because they are imposing domination on their neighbours.",46580_46581,Is we don't abolish it true in the intervention of the family can be the origin of unequal opportunities?,Is it true that we don't abolish the intervention of the family even if it can be the origin of unequal opportunities?,edited,
AB_68,"Indeed.
 I think there should be a careful balancing act of freedom.
Liberal societies have often known that the family can be a nexus for forms of unequal opportunity, but we don’t abolish the family.
For the same reasons we should be very circumspect in the way we intervene in families,
 if you would like to consider the concept of non domination, freedom as non domination – the non interference on arbitrary grounds in people’s important decisions – then we have to be careful that when we do intervene it’s to increase total non domination.
Which would mean not interfering simply because people are mad, sad and bad, but because they are imposing domination on their neighbours.",46580_46581,Are there differences between the intervention of the family can be the origin of unequal opportunities and the intervention of the State can be the origin of unequal opportunities that would tend to undermine the force of the similarity cited?,Are there differences between the intervention of the family and the intervention of the State that would tend to undermine the force of the similarity cited?,edited,
AB_68,"Indeed.
 I think there should be a careful balancing act of freedom.
Liberal societies have often known that the family can be a nexus for forms of unequal opportunity, but we don’t abolish the family.
For the same reasons we should be very circumspect in the way we intervene in families,
 if you would like to consider the concept of non domination, freedom as non domination – the non interference on arbitrary grounds in people’s important decisions – then we have to be careful that when we do intervene it’s to increase total non domination.
Which would mean not interfering simply because people are mad, sad and bad, but because they are imposing domination on their neighbours.",46580_46581,"Is there some other case that is also similar to the intervention of the family can be the origin of unequal opportunities, but in which we don't abolish it is false?",Is there some other case that can be the origin of unequal opportunities and we do abolish?,edited,
JL_69,"So, if I want a washing machine, I have to go to the launderette every week at the moment and spend several pounds in the launderette.
But, if I buy the washing machine, on credit, I can have my own washing machine, for pretty much the same amount of money that I'm spending in the launderette
That seems to me to be beneficial
It raises living standards
And this idea of usury has been – well, it’s been fiddled, hasn’t it, over the years?
Because why did we have money lenders from one religious persuasion unable to lend to their own persuasion, but happily would lend to those of another religious persuasion?
 I don’t buy that at all
I think that credit raises living standards
It’s beneficial to people
because it allows them to fund today’s purchases out of their future income",30688_30684,"If buying a washing machine on credit, will living standards would raise occur? What evidence supports this claim? How likely are the consequences?","If buying a washing machine on credit, will living standards raise? What evidence supports this claim? How likely are the consequences?",edited,
JL_69,"So, if I want a washing machine, I have to go to the launderette every week at the moment and spend several pounds in the launderette.
But, if I buy the washing machine, on credit, I can have my own washing machine, for pretty much the same amount of money that I'm spending in the launderette
That seems to me to be beneficial
It raises living standards
And this idea of usury has been – well, it’s been fiddled, hasn’t it, over the years?
Because why did we have money lenders from one religious persuasion unable to lend to their own persuasion, but happily would lend to those of another religious persuasion?
 I don’t buy that at all
I think that credit raises living standards
It’s beneficial to people
because it allows them to fund today’s purchases out of their future income",30688_30684,What other consequences should also be taken into account if  buying a washing machine on credit?,What other consequences should also be taken into account if people buy a washing machine on credit?,edited,
JL_69,"So, if I want a washing machine, I have to go to the launderette every week at the moment and spend several pounds in the launderette.
But, if I buy the washing machine, on credit, I can have my own washing machine, for pretty much the same amount of money that I'm spending in the launderette
That seems to me to be beneficial
It raises living standards
And this idea of usury has been – well, it’s been fiddled, hasn’t it, over the years?
Because why did we have money lenders from one religious persuasion unable to lend to their own persuasion, but happily would lend to those of another religious persuasion?
 I don’t buy that at all
I think that credit raises living standards
It’s beneficial to people
because it allows them to fund today’s purchases out of their future income",30721_30715,"If people can fund today's purchases out of their future income, will people can benefit from it occur? What evidence supports this claim? How likely are the consequences?","If people can fund today's purchases out of their future income, will people benefit from it? What evidence supports this claim? How likely are the consequences?",edited,
JL_69,"So, if I want a washing machine, I have to go to the launderette every week at the moment and spend several pounds in the launderette.
But, if I buy the washing machine, on credit, I can have my own washing machine, for pretty much the same amount of money that I'm spending in the launderette
That seems to me to be beneficial
It raises living standards
And this idea of usury has been – well, it’s been fiddled, hasn’t it, over the years?
Because why did we have money lenders from one religious persuasion unable to lend to their own persuasion, but happily would lend to those of another religious persuasion?
 I don’t buy that at all
I think that credit raises living standards
It’s beneficial to people
because it allows them to fund today’s purchases out of their future income",30721_30715,What other consequences should also be taken into account if  people can fund today's purchases out of their future income?,What other consequences should also be taken into account if  people can fund today's purchases out of their future income?,none,
